WBS,W15,S15,W16,S16,W17,S17,W18,S18,W19,S19,W20,S20
02C,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-288"",""DLP-288"")",,,,,,,,,,
02C.03.01,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-264"",""DLP-264"")",,,,,,,,,
02C.03.01,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-262"",""DLP-262"")",,,,,,,,,
02C.03.01,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-263"",""DLP-263"")",,,,,,,,
02C.03.01,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-265"",""DLP-265"")",,,,,,
02C.03.01,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-266"",""DLP-266"")",,,,,
02C.03.01,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-267"",""DLP-267"")",,,
02C.03.02,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-268"",""DLP-268"")",,,,,,
02C.03.02,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-269"",""DLP-269"")",,
02C.03.03,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-270"",""DLP-270"")",,,,,,,
02C.03.03,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-271"",""DLP-271"")",,
02C.03.03,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-198"",""DLP-198"")",,
02C.03.03,,,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-272"",""DLP-272"")"
02C.03.03,,,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-273"",""DLP-273"")"
02C.03.04,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-274"",""DLP-274"")",,,,,,,,,,
02C.03.04,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-275"",""DLP-275"")",,,,,,,,,,
02C.03.04,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-276"",""DLP-276"")",,,,,,,,,
02C.03.04,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-277"",""DLP-277"")",,,,,,,,
02C.03.04,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-278"",""DLP-278"")",,,,,,,,
02C.03.04,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-281"",""DLP-281"")",,,,,,
02C.03.04,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-280"",""DLP-280"")",,,,,,
02C.03.04,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-279"",""DLP-279"")",,,,,,
02C.03.04,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-282"",""DLP-282"")",,,,,
02C.03.04,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-284"",""DLP-284"")",,,,
02C.03.04,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-283"",""DLP-283"")",,,,
02C.03.04,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-285"",""DLP-285"")",,,
02C.03.04,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-286"",""DLP-286"")",,
02C.03.06,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-292"",""DLP-292"")",,,,,,,,,
02C.03.06,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-294"",""DLP-294"")",,,,,,,,
02C.03.06,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-293"",""DLP-293"")",,,,,,,,
02C.03.06,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-296"",""DLP-296"")",,,,,,
02C.03.06,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-306"",""DLP-306"")",,,,,
02C.03.06,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-295"",""DLP-295"")",,,,
02C.03.06,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-297"",""DLP-297"")",,
02C.03.06,,,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-298"",""DLP-298"")"
02C.03.07,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-299"",""DLP-299"")",,,,,,,,,
02C.03.07,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-300"",""DLP-300"")",,,,,
02C.03.07,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-301"",""DLP-301"")",,
02C.03.08,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-302"",""DLP-302"")",,,,,,,,,,
02C.03.08,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-303"",""DLP-303"")",,,,,,,,
02C.03.08,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-304"",""DLP-304"")",,,
02C.03.08,,,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-305"",""DLP-305"")"
02C.04,,,,,,,,,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-197"",""DLP-197"")"
02C.04.01,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-73"",""DLP-73"")",,,,,,,,,,
02C.04.01,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-96"",""DLP-96"")",,,,,,,,
02C.04.01,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-94"",""DLP-94"")",,,,,,,,
02C.04.01,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-84"",""DLP-84"")",,,,,,,,
02C.04.01,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-92"",""DLP-92"")",,,,,,,,
02C.04.02,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-177"",""DLP-177"")",,,,,,,,
02C.04.02,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-175"",""DLP-175"")",,,,,,,,
02C.04.02,,,,"=HYPERLINK(""https://jira.lsstcorp.org/browse/DLP-173"",""DLP-173"")",,,,,,,,
